file,start,end,speaker,gender,age,birth_year,prompt,emotion,duration,angry_ac,happy_ac,neutral_ac,sad_ac,scared_ac,emotion_ac
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:20.226000,0 days 00:02:25.310000,M_26,male,34,1991,sp,unknown,5.084,-5.176,-1.156,1.629,2.135,1.498,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:31.554000,0 days 00:02:33.982000,M_26,male,34,1991,sp,unknown,2.428,-4.072,-0.589,2.326,0.516,0.707,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:34.082000,0 days 00:02:36.190000,M_26,male,34,1991,sp,unknown,2.108,-5.360,-1.611,2.798,2.764,0.653,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:38.978000,0 days 00:02:41.214000,M_26,male,34,1991,sp,unknown,2.236,-3.708,0.066,4.463,-0.255,-1.549,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:42.210000,0 days 00:02:47.614000,M_26,male,34,1991,sp,unknown,5.404,-2.884,-0.246,0.632,-0.306,1.485,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:50.594000,0 days 00:02:52.990000,M_26,male,34,1991,sp,unknown,2.396,-6.059,-2.309,3.376,4.121,0.348,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:04.930000,0 days 00:03:07.678000,M_26,male,34,1991,sp,unknown,2.748,-5.397,-2.358,3.280,4.130,0.003,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:08.802000,0 days 00:03:11.230000,M_26,male,34,1991,sp,unknown,2.428,-3.685,-1.448,1.798,1.891,0.698,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:15.042000,0 days 00:03:18.494000,M_26,male,34,1991,sp,unknown,3.452,-4.819,-0.444,2.009,0.621,1.292,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:29.154000,0 days 00:03:31.358000,M_26,male,34,1991,sp,unknown,2.204,-4.725,-2.572,3.657,4.360,-0.810,sad
